@relation Dataset_T2_16d_PCA_BIN-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute label {0,1}

@data
0.202469,0.674066,0.321882,0.326998,0.491073,0.514516,0.749556,0.388018,0.558047,0.301282,0.794699,0.788779,0.333401,0.430347,0.744582,0.357234,1
0.151631,0.600036,0.265587,0.390741,0.433758,0.380776,0.523599,0.366338,0.360035,0.725702,0.109246,0.655952,0.776444,0.772172,0.671241,0.604684,1
0.105391,0.517444,0.348787,0.304024,0.373131,0.479972,0.660065,0.397448,0.437554,0.417282,0.599192,0.642443,0.814365,0.177277,0.730514,0.415727,1
0.1697,0.521114,0.538633,0.15748,0.26769,0.436779,0.797881,0.370484,0.310929,0.382784,0.4336,0.6253,0.517044,0.276916,0.742687,0.387181,1
0.34432,0.916474,0.36483,0.319421,0.578046,0.873556,0.597538,0.813398,0.528988,0.424575,0.754207,0.532259,0.730945,0.43782,0.712948,0.67573,0
0.312065,0.870856,0.305701,0.379184,0.565485,0.783634,0.690661,0.753726,0.443371,0.255944,0.819913,0.53448,0.404369,0.699644,0.505504,0.737117,0
0.238103,0.801488,0.252793,0.376158,0.713497,0.505054,0.597461,0.855906,0.340237,0.445295,0.576992,0.605264,0.403302,0.684967,0.542301,0.338055,0
0.251366,0.810717,0.201736,0.426581,0.747688,0.667427,0.624425,0.660784,0.29181,0.39869,0.555467,0.478846,0.127003,0.799728,0.420296,0.69249,0
0.19927,0.695492,0.356421,0.256589,0.739358,0.617971,0.703395,0.513177,0.33473,0.382351,0.520838,0.589218,0.176138,0.716981,0.542973,0.350526,0
0.391495,0.841507,0.73692,0.79583,0.449403,0.254344,0.424837,0.267421,0.434922,0.283311,0.541618,0.524489,0.6402,0.818086,0.630996,0.473647,0
0.384081,0.805708,0.713003,0.83142,0.413815,0.231827,0.238323,0.30977,0.550552,0.161547,0.617758,0.527139,0.666741,0.417123,0.428475,0.141417,0
0.361968,0.769053,0.637353,1,0.420097,0.255142,0.645311,0.386654,0.479895,0.502401,0.408659,0.514724,0.833059,0.809241,0.73335,0.579605,0
0.336338,0.746593,0.705814,0.852006,0.447105,0.290267,0.501461,0.475265,0.539727,0.424187,0.773077,0.484108,0.713552,0.486941,0.561112,0.466533,0
